"Date","RPK_ttl","RPK_domestic","RPK_internal","RPK_regional"
2019-01-01,"18930.6","10960.5","7216.3","753.7"
2019-02-01,"18700.6","11410.8","6545.3","744.5"
2019-03-01,"19117.4","11237.8","7140.2","739.4"
2019-04-01,"19224.8","10961.3","7473","790.5"
2019-05-01,"19399.9","11179.4","7440.2","780.4"
2019-06-01,"18889.5","10842.5","7287.1","759.9"
2019-07-01,"20418.4","12103.7","7520.8","793.8"
2019-08-01,"21296.8","12635.7","7944.4","716.7"
2019-09-01,"19082.7","11446.2","7091.5","545"
2019-10-01,"19678.6","12077.3","7011.2","590.1"
2019-11-01,"18654.2","11344.1","6753.6","556.5"
2019-12-01,"19278.5","11523.7","7160.8","594"
2020-01-01,"18880","11176.6","7106","597.3"
2020-02-01,"3651.2","1839.6","1754.8","56.8"
2020-03-01,"5061.6","4119.8","924.5","17.3"
2020-04-01,"4008.1","3905.6","101.7","0.8"
2020-05-01,"5996.2","5821.6","173.6","1.1"
2020-06-01,"6624.9","6384.7","239.4","0.8"
2020-07-01,"8573.8","8342.7","229.3","1.8"
2020-08-01,"10769.1","10481.7","282.2","5.2"
2020-09-01,"11702.5","11443.7","244.3","14.5"
2020-10-01,"12735.9","12388.2","271.3","76.4"
2020-11-01,"11468.6","11160.8","225.2","82.6"
2020-12-01,"10360.5","10055.2","201.2","104.1"
2021-01-01,"6679.5","6447.4","167.5","64.6"
2021-02-01,"5289.4","5135.9","112.2","41.3"
2021-03-01,"11564.8","11306.5","150.6","107.7"
2021-04-01,"12736.3","12425.1","148.9","162.3"
2021-05-01,"12623.9","12283.4","159.2","181.4"
2021-06-01,"9340.7","9014.7","156.5","169.6"
2021-07-01,"11861.3","11464.9","191.9","204.5"
2021-08-01,"5051.6","4798","204.4","49.2"
2021-09-01,"8468.8","8209.3","168.6","90.9"
2021-10-01,"9729.2","9535.3","160.4","33.4"
2021-11-01,"4642.9","4467.5","133","42.3"
2021-12-01,"6488.5","6257.3","127.6","103.6"
2022-01-01,"6725.8","6512.1","80.7","133"
2022-02-01,"6801.3","6597.4","73.7","130.3"
2022-03-01,"3458","3313.8","88.5","55.7"
2022-04-01,"2051.8","1931.9","95.6","24.3"
2022-05-01,"2824.2","2698","105.9","20.2"
